i,i,a,s,u,e,q,m,j,k,l,i,i,i,i,i,i,a,s,u,a,s,u,u,s,a,i,i,i,e,q,m,i,i,i,i,i,i,e,q,m,i,i,i,e,q,m,j,k,l,i,i,i,i,i,i,j,k,l,i,i,i,j,k,l
j,j,b,t,v,f,r,n,k,l,i,b,t,v,j,j,j,j,j,j,b,t,v,j,j,j,b,t,v,j,j,j,j,j,j,f,r,n,f,r,n,n,r,f,j,j,j,k,l,i,j,j,j,j,j,j,k,l,i,j,j,j,k,l,i
k,k,c,q,w,g,s,o,l,i,j,k,k,k,k,k,k,c,q,w,c,q,w,w,q,c,k,k,k,k,k,k,o,s,g,k,k,k,k,k,k,o,s,g,g,s,o,l,i,j,k,k,k,k,k,k,l,i,j,k,k,k,l,i,j
l,l,d,r,x,h,t,p,i,j,k,l,l,l,x,r,d,l,l,l,l,l,l,x,r,d,d,r,x,l,l,l,l,l,l,h,t,p,h,t,p,p,t,h,l,l,l,i,j,k,l,l,l,l,l,l,i,j,k,l,l,l,i,j,k
m,m,n,o,p,i,e,q,v,g,d,n,o,p,m,m,m,m,m,m,n,o,p,m,m,m,n,o,p,i,e,q,m,m,m,m,m,m,i,e,q,m,m,m,i,e,q,m,m,m,m,m,m,v,g,d,v,g,d,d,g,v,m,m,m
n,n,o,p,m,j,f,r,w,h,a,o,p,m,n,n,n,n,n,n,o,p,m,n,n,n,o,p,m,n,n,n,n,n,n,j,f,r,j,f,r,r,f,j,n,n,n,n,n,n,a,h,w,n,n,n,n,n,n,a,h,w,w,h,a
o,o,p,m,n,k,g,s,x,e,b,p,m,n,o,o,o,o,o,o,p,m,n,o,o,o,p,m,n,o,o,o,s,g,k,o,o,o,o,o,o,s,g,k,k,g,s,o,o,o,o,o,o,x,e,b,x,e,b,b,e,x,o,o,o
p,p,m,n,o,l,h,t,u,f,c,m,n,o,p,p,p,p,p,p,m,n,o,p,p,p,m,n,o,p,p,p,p,p,p,l,h,t,l,h,t,t,h,l,p,p,p,u,f,c,p,p,p,p,p,p,u,f,c,p,p,p,u,f,c
q,q,w,k,c,m,i,e,t,s,r,q,q,q,q,q,q,w,k,c,w,k,c,c,k,w,q,q,q,m,i,e,q,q,q,q,q,q,m,i,e,q,q,q,m,i,e,q,q,q,r,s,t,q,q,q,q,q,q,r,s,t,t,s,r
r,r,x,l,d,n,j,f,q,t,s,r,r,r,d,l,x,r,r,r,r,r,r,d,l,x,x,l,d,r,r,r,r,r,r,n,j,f,n,j,f,f,j,n,r,r,r,r,r,r,s,t,q,r,r,r,r,r,r,s,t,q,q,t,s
s,s,u,i,a,o,k,g,r,q,t,s,s,s,s,s,s,u,i,a,u,i,a,a,i,u,s,s,s,s,s,s,g,k,o,s,s,s,s,s,s,g,k,o,o,k,g,s,s,s,t,q,r,s,s,s,s,s,s,t,q,r,r,q,t
t,t,v,j,b,p,l,h,s,r,q,v,j,b,t,t,t,t,t,t,v,j,b,t,t,t,v,j,b,t,t,t,t,t,t,p,l,h,p,l,h,h,l,p,t,t,t,t,t,t,q,r,s,t,t,t,t,t,t,q,r,s,s,r,q
u,u,i,a,s,x,w,v,f,c,p,u,u,u,u,u,u,i,a,s,i,a,s,s,a,i,u,u,u,u,u,u,v,w,x,u,u,u,u,u,u,v,w,x,x,w,v,f,c,p,u,u,u,u,u,u,f,c,p,u,u,u,f,c,p
v,v,j,b,t,u,x,w,g,d,m,j,b,t,v,v,v,v,v,v,j,b,t,v,v,v,j,b,t,v,v,v,w,x,u,v,v,v,v,v,v,w,x,u,u,x,w,v,v,v,v,v,v,g,d,m,g,d,m,m,d,g,v,v,v
w,w,k,c,q,v,u,x,h,a,n,w,w,w,w,w,w,k,c,q,k,c,q,q,c,k,w,w,w,w,w,w,x,u,v,w,w,w,w,w,w,x,u,v,v,u,x,w,w,w,n,a,h,w,w,w,w,w,w,n,a,h,h,a,n
x,x,l,d,r,w,v,u,e,b,o,x,x,x,r,d,l,x,x,x,x,x,x,r,d,l,l,d,r,x,x,x,u,v,w,x,x,x,x,x,x,u,v,w,w,v,u,x,x,x,x,x,x,e,b,o,e,b,o,o,b,e,x,x,x
